Label,log_k1_median,log_k1_CI_lower,log_k1_CI_upper,log_k2_median,log_k2_CI_lower,log_k2_CI_upper,m_median,m_CI_lower,m_CI_upper,n_median,n_CI_lower,n_CI_upper,r_median,r_CI_lower,r_CI_upper,log_sigma_median,log_sigma_CI_lower,log_sigma_CI_upper
DSC_DAB_100C,-3.653464281190775,-3.7923940373225595,-2.8845680955105517,-1.865663102399127,-1.8802639810434698,-1.8565649407134754,0.39632032679461904,0.3927891230100849,0.49280219293677563,1.5244162274836501,1.515843314751624,1.5296097356709868,0.8887223997685247,0.8885152465128323,0.8890807335559013,-2.694634580205054,-2.8180182815034853,-2.6204631623926518
DSC_DAB_80C,-2.8553420129865366,-6.332002255202829,-2.841976809829744,-2.2337393800406984,-2.2558415240799268,-2.2295988287161648,0.9297868481517504,0.38573986197370114,0.9384602902527963,1.4771494273092256,1.433166879008002,1.48126010636309,0.9294178906908697,0.9287529610586821,0.9320307314305453,-2.578910516283419,-2.600389431830052,-2.248803596019684
DSC_DAB_60C,-3.3764472310661215,-3.3846673801767717,-3.3545418396061684,-2.5853540354940003,-2.585786392877397,-2.580119218616256,1.0991410879500831,1.0921336421753738,1.1506453135832275,1.5380864814893909,1.5280303613518769,1.5421119380609374,0.8997533858634964,0.899129605310992,0.8998626576317872,-2.5307838881898643,-2.5411481773047537,-2.5216440692836994
DSC_DAB_33C,-5.133559028338594,-5.147107471152786,-4.79876379065203,-3.3621026272437153,-3.362536967482174,-3.329674519838433,0.41217766136308376,0.41151703917884364,0.4621912856024336,1.3186945392695462,1.3183728397033248,1.325896269913043,0.2205873309026252,0.22026235584680323,0.2206255477244388,-3.335973173045697,-3.424417845338018,-3.3248874622174256
DSC_DAB_50C,-3.698928329871956,-3.7032076257768543,-3.6958741431061073,-2.9731017530904706,-2.9965979262799127,-2.9725218374412323,0.8363954684175956,0.8009203913160002,0.8383871708467963,1.3561736892875835,1.3460168312876026,1.3564991547849525,0.8299381859138244,0.8298057278281916,0.8301035194657107,-2.6737420152014266,-2.6805329378938043,-2.607605274511683
DSC_DAB_25C,-4.580652119409317,-4.585039268305648,-4.5793006153181235,-3.4159670551828443,-3.428664468074268,-3.413104974759374,1.5058562881465485,1.4840551944319396,1.512067217257863,1.2205279087780023,1.2099945733632211,1.221107807803326,0.6065901533184657,0.6064124137367237,0.606970681658198,-2.5647132341624843,-2.5695538784374716,-2.559687235006164
DSC_DAP_100C,-3.0883561791806953,-3.0972931255085605,-2.186951979089362,-1.8683253454730995,-2.601497886246866,-1.8509045423848756,0.45298490485003484,0.4522825029584779,1.2771538272808802,1.7687958821491003,1.5907106726975235,1.7995674095510206,0.8291631649136708,0.8261760219092741,0.83154683867408,-2.8510917328529537,-2.8873144615167226,-1.8022942125428791
DSC_DAP_33C,-4.108288721023637,-4.119828924437648,-3.8991451486397644,-3.01675300635082,-4.294682448562104,-2.98293022579549,0.8652344697939822,0.8372929907781452,1.713469873317049,1.673759214395465,1.3934712162491247,1.7011553109375632,0.20761043254942751,0.20750304561615532,0.21261092191056505,-3.1167156624128807,-3.12921181348851,-2.064779623537489
DSC_DAP_25C,-4.5542406149315,-4.554533644485112,-4.546978420921689,-3.645982701504463,-3.6462521448214478,-3.6253003497120546,1.0887700998409735,1.0885251542092136,1.118797128712256,1.1632309938716827,1.16307235440356,1.176489184714249,0.5582305929866911,0.5579054502368501,0.5582905917959669,-2.75963549248502,-2.7661855871351064,-2.754281190386326
DSC_EDA_100C,-6.627558515937776,-48785.42796459237,-3.5526016083047316,-1.9787423180737291,-2.0117860494019664,-1.9733921457123367,0.2632331813635429,0.24821271182631344,0.28095696972796735,0.9085314613108688,0.766672311652722,0.9213372265989599,1.098846250948596,1.0020421057120057,1.0999256833581224,-2.264311001197957,-4.0719176317589785,-2.241990471359181
