label,parameter,tau,neff,rhat
DSC_EDA_50C,log_sigma,1018.0617,4714.8,1.899374
DSC_EDA_60C,log_k1,76.9961,62340.8,1.001365
DSC_EDA_60C,log_k2,74.1933,64695.9,1.001059
DSC_EDA_60C,m,76.8195,62484.1,1.001308
DSC_EDA_60C,n,74.7950,64175.4,1.001105
DSC_EDA_60C,r,72.1266,66549.7,1.001043
DSC_EDA_60C,log_sigma,60.5366,79290.9,1.001228
NMR_DAB_25C,log_k1,nan,nan,1.566013
NMR_DAB_25C,log_k2,nan,nan,1.644618
NMR_DAB_25C,m,nan,nan,1.499034
NMR_DAB_25C,n,nan,nan,1.480347
NMR_DAB_25C,r,nan,nan,1.325214
NMR_DAB_25C,log_sigma,nan,nan,1.553813
NMR_DAB_33C,log_k1,nan,nan,1.293141
NMR_DAB_33C,log_k2,nan,nan,1.328053
NMR_DAB_33C,m,nan,nan,1.305216
NMR_DAB_33C,n,nan,nan,1.307016
NMR_DAB_33C,r,nan,nan,1.295769
NMR_DAB_33C,log_sigma,nan,nan,1.356909
DSC_EDA_80C,log_k1,562.1699,8538.3,1.000982
DSC_EDA_80C,log_k2,103.0532,46577.9,1.000891
DSC_EDA_80C,m,759.7184,6318.1,1.000915
DSC_EDA_80C,n,93.3881,51398.4,1.000903
DSC_EDA_80C,r,162.3867,29559.1,1.000956
DSC_EDA_80C,log_sigma,514.4634,9330.1,1.001017
NMR_DAB_40C,log_k1,168.4572,28493.9,1.002529
NMR_DAB_40C,log_k2,156.9701,30579.1,1.002462
NMR_DAB_40C,m,171.8139,27937.2,1.002773
NMR_DAB_40C,n,128.9971,37210.1,1.001958
NMR_DAB_40C,r,89.8861,53400.9,1.001000
NMR_DAB_40C,log_sigma,84.1701,57027.4,1.001206
NMR_DAP_25C,log_k1,nan,nan,1.410302
NMR_DAP_25C,log_k2,nan,nan,1.287045
NMR_DAP_25C,m,nan,nan,1.349068
NMR_DAP_25C,n,nan,nan,1.232550
NMR_DAP_25C,r,nan,nan,1.203066
NMR_DAP_25C,log_sigma,nan,nan,1.232258
NMR_DAP_33C,log_k1,3678.3165,1304.9,1.220333
NMR_DAP_33C,log_k2,3270.0508,1467.9,1.224625
NMR_DAP_33C,m,2355.5382,2037.8,1.184681
NMR_DAP_33C,n,3940.5378,1218.1,1.230864
NMR_DAP_33C,r,1414.3595,3393.8,1.134836
NMR_DAP_33C,log_sigma,1253.2701,3830.0,1.128587
NMR_DAP_40C,log_k1,nan,nan,1.667485
NMR_DAP_40C,log_k2,nan,nan,1.479959
NMR_DAP_40C,m,nan,nan,1.655712
NMR_DAP_40C,n,nan,nan,1.453066
NMR_DAP_40C,r,nan,nan,1.548656
NMR_DAP_40C,log_sigma,nan,nan,1.611178
NMR_EDA_33C,log_k1,1759.6505,2727.8,1.051541
NMR_EDA_33C,log_k2,1419.3223,3381.9,1.180214
NMR_EDA_33C,m,1844.5870,2602.2,1.160659
NMR_EDA_33C,n,1285.0952,3735.1,1.178222
NMR_EDA_33C,r,942.9005,5090.7,1.168807
NMR_EDA_33C,log_sigma,727.3334,6599.4,1.169799
NMR_EDA_40C,log_k1,nan,nan,1.581193
NMR_EDA_40C,log_k2,nan,nan,1.407539
NMR_EDA_40C,m,nan,nan,1.586413
NMR_EDA_40C,n,nan,nan,1.413070
NMR_EDA_40C,r,nan,nan,1.465560
NMR_EDA_40C,log_sigma,nan,nan,1.448667
NMR_EDA_25C,log_k1,nan,nan,1.363392
NMR_EDA_25C,log_k2,nan,nan,1.359275
NMR_EDA_25C,m,nan,nan,1.399629
NMR_EDA_25C,n,nan,nan,1.342319
NMR_EDA_25C,r,nan,nan,1.288299
NMR_EDA_25C,log_sigma,nan,nan,1.388248
DSC_EDA_60C,log_k1,497.6567,100.5,nan
DSC_EDA_60C,log_k2,172.7886,289.4,nan
DSC_EDA_60C,m,525.5292,95.1,nan
DSC_EDA_60C,n,292.7308,170.8,nan
DSC_EDA_60C,log_sigma,83.9493,595.6,nan
DSC_EDA_60C,log_k1,497.6567,100.5,nan
DSC_EDA_60C,log_k2,172.7886,289.4,nan
DSC_EDA_60C,m,525.5292,95.1,nan
DSC_EDA_60C,n,292.7308,170.8,nan
DSC_EDA_60C,log_sigma,83.9493,595.6,nan
DSC_EDA_60C,log_k1,497.6567,100.5,nan
DSC_EDA_60C,log_k2,172.7886,289.4,nan
DSC_EDA_60C,m,525.5292,95.1,nan
DSC_EDA_60C,n,292.7308,170.8,nan
DSC_EDA_60C,log_sigma,83.9493,595.6,nan
DSC_EDA_60C,log_k1,497.6567,100.5,nan
DSC_EDA_60C,log_k2,172.7886,289.4,nan
DSC_EDA_60C,m,525.5292,95.1,nan
DSC_EDA_60C,n,292.7308,170.8,nan
DSC_EDA_60C,log_sigma,83.9493,595.6,nan
DSC_EDA_60C,log_k1,497.6567,100.5,nan
DSC_EDA_60C,log_k2,172.7886,289.4,nan
DSC_EDA_60C,m,525.5292,95.1,nan
DSC_EDA_60C,n,292.7308,170.8,nan
DSC_EDA_60C,log_sigma,83.9493,595.6,nan
DSC_EDA_60C,log_k1,497.6567,100.5,1.368544
DSC_EDA_60C,log_k2,172.7886,289.4,1.113022
DSC_EDA_60C,m,525.5292,95.1,1.363964
DSC_EDA_60C,n,292.7308,170.8,1.268073
DSC_EDA_60C,log_sigma,83.9493,595.6,1.082319
DSC_EDA_60C,log_k1,528.5913,94.6,1.357537
DSC_EDA_60C,log_k2,121.7733,410.6,1.062746
DSC_EDA_60C,m,460.9847,108.5,1.274876
DSC_EDA_60C,n,181.3545,275.7,1.111509
DSC_EDA_60C,log_sigma,87.5193,571.3,1.059482
DSC_EDA_60C,log_k1,607.9335,526.4,1.041212
DSC_EDA_60C,log_k2,179.5938,1781.8,1.006847
DSC_EDA_60C,m,684.3368,467.6,1.035405
DSC_EDA_60C,n,278.9837,1147.0,1.013536
DSC_EDA_60C,log_sigma,102.5773,3119.6,1.008147
DSC_EDA_60C,log_k1,nan,nan,3524484597084855.500000
DSC_EDA_60C,log_k2,nan,nan,3524484597084855.500000
DSC_EDA_60C,m,nan,nan,3524484597084855.500000
DSC_EDA_60C,n,nan,nan,3524484597084855.500000
DSC_EDA_60C,log_sigma,nan,nan,3513405166450544.500000
DSC_EDA_60C,log_k1,730.9609,437.8,1.130478
DSC_EDA_60C,log_k2,163.5650,1956.4,1.013330
DSC_EDA_60C,m,861.7670,371.3,1.122744
DSC_EDA_60C,n,229.5368,1394.1,1.025525
DSC_EDA_60C,log_sigma,87.5280,3656.0,1.015959
DSC_EDA_60C,log_k1,847.7076,377.5,1.083396
DSC_EDA_60C,log_k2,266.4453,1201.0,1.018390
DSC_EDA_60C,m,1002.1358,319.3,1.077085
DSC_EDA_60C,n,466.5236,685.9,1.038362
DSC_EDA_60C,log_sigma,101.1635,3163.2,1.008295
DSC_EDA_60C,log_k1,1155.7855,276.9,1.335395
DSC_EDA_60C,log_k2,43.6606,7329.3,1.233549
DSC_EDA_60C,m,371.7528,860.8,1.316410
DSC_EDA_60C,n,71.7840,4457.8,1.264739
DSC_EDA_60C,log_sigma,80.9221,3954.4,1.203025
NMR_EDA_40C,log_k1,nan,nan,209.701348
NMR_EDA_40C,log_k2,nan,nan,36.412324
NMR_EDA_40C,m,nan,nan,14.643581
NMR_EDA_40C,n,nan,nan,103.775051
NMR_EDA_40C,log_sigma,nan,nan,12.860954
