sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,c,c_err,dropped,elapsed_min,alpha
DAP,25C,1,2020-02-26 12:43:10,18.089510223090908,0.062233601886246805,0.019216713622190164,0.00011292435392655609,0.7167698385988759,0.003176028126371179,1.0897444421892553,0.004724774271748293,False,0.0,0.0
DAP,25C,2,2020-02-26 12:51:02,17.959530409221372,0.0603471498601106,0.01802683341006815,0.00010306796053558592,0.7299244444681409,0.003172054557244599,1.0666268236300644,0.004299825652731318,False,7.866666666666666,0.06191902713000952
DAP,25C,3,2020-02-26 12:58:54,17.81666165335412,0.060918196949784884,0.016142479824616092,9.350743626556798e-05,0.745680178411883,0.0033131263247865484,1.0497364088005137,0.003947065029978461,False,15.733333333333333,0.15997708338766903
DAP,25C,4,2020-02-26 13:06:46,17.720981206100593,0.06247116207218112,0.013787729575470128,8.212120849069832e-05,0.7588040333217234,0.003486198769106441,1.0481802988105113,0.00359346252407802,False,23.6,0.28251365730147593
DAP,25C,5,2020-02-26 13:14:38,17.68575987559467,0.06639631684183589,0.011357672512132894,7.219322076703609e-05,0.7640149608482097,0.0037271384007457396,1.036215217317423,0.0033382430426889403,False,31.466666666666665,0.40896904978498405
DAP,25C,6,2020-02-26 13:22:30,17.71342605164455,0.07202286426166761,0.009177518513946268,6.336630736383316e-05,0.7660978897832238,0.00402939422863152,1.0371379087572,0.0031498780933272696,False,39.333333333333336,0.5224199780263838
DAP,25C,7,2020-02-26 13:30:22,17.814930115244962,0.08090350677934019,0.0071418433211969485,5.545799008818175e-05,0.7622215089657642,0.00443230161603193,1.0347032362113522,0.0030159667032017864,False,47.2,0.628352513254398
DAP,25C,8,2020-02-26 13:38:14,17.818334983397992,0.09155872710082456,0.0054288801531888605,4.815035100149506e-05,0.7541569614661165,0.004890822755298531,1.031751699511232,0.0028738478110815683,False,55.06666666666667,0.7174917491136488
DAP,25C,9,2020-02-26 13:46:12,17.947844730962807,0.08214619088677173,0.00400837614086179,3.201182756722388e-05,0.7342808121757001,0.00416474922605774,0.7356636336021736,0.0031711243031438655,False,63.03333333333333,0.7914119854378645
DAP,25C,10,2020-02-26 13:54:10,18.000424081432477,0.09860002553634979,0.002761175387385993,2.6746983470344775e-05,0.7228275309286091,0.0047859858927176285,0.7292567007570829,0.002968486605791933,False,71.0,0.8563138608571669
DAP,25C,11,2020-02-26 14:02:08,17.955522852072285,0.12419825559790156,0.0018083155292457115,2.2609778266992688e-05,0.6993338393258356,0.005608429319598724,0.7270296612554384,0.002802887833603578,False,78.96666666666667,0.9058988147090046
DAP,25C,12,2020-02-26 14:10:06,18.123426172574437,0.16745276500537457,0.001138479119196172,1.9181756861831632e-05,0.6860298054532682,0.007090054482061086,0.7297108368711294,0.002766759198346496,False,86.93333333333334,0.9407557846997556
DAP,25C,13,2020-02-26 14:18:04,18.29608919989795,0.23580915783070536,0.0006998710722236852,1.671172144540558e-05,0.6611372973283525,0.008979862362029347,0.727239945939527,0.0027263775845799082,False,94.9,0.963580085232913
DAP,25C,14,2020-02-26 14:26:02,16.854198793129957,0.29146899280901745,0.0004915384722537477,1.4884562111619143e-05,0.706560348158382,0.013231904589487116,0.7325584630822514,0.0027237320682149666,False,102.86666666666666,0.9744213041877174
DAP,25C,15,2020-02-26 14:34:00,17.58978322206651,0.4533115298348293,0.0002797257162400301,1.2650176715563167e-05,0.6783382199808394,0.017159247465405657,0.7317000155848098,0.0025872636010424873,False,110.83333333333333,0.9854436236216259
DAP,25C,16,2020-02-26 14:41:58,17.633473052259642,0.7101236658482549,0.00017826744316055021,1.2033222969146745e-05,0.6924374562080179,0.025809416542055565,0.7321482606051719,0.002657504591996051,False,118.8,0.990723312702402
DAP,25C,17,2020-02-26 14:50:02,14.430738646808406,0.40895389141213173,0.00016438268280743434,7.048201496053526e-06,0.7882521643116851,0.02242056262488973,0.36426105770591105,0.0030641812226266858,False,126.86666666666666,0.9914458483360227
DAP,25C,18,2020-02-26 14:58:04,12.563923606808713,0.46692894344811703,0.00013684470429699974,6.959506821537822e-06,0.88092350136243,0.034046073822149026,0.3629553251037298,0.003015865125890278,False,134.9,0.9928788706025685
DAP,25C,19,2020-02-26 15:06:06,9.061067031899803,0.3245904610091569,0.00014129314858979841,5.63564457390625e-06,1.1762722433834254,0.05571556825190967,0.36247489670728317,0.0028151509612814947,False,142.93333333333334,0.9926473823064812
DAP,25C,20,2020-02-26 15:14:10,7.569361353662085,0.3195252435330447,0.00013351843185853307,5.939537882524548e-06,1.2568609412911158,0.07273866638736921,0.36096558644211796,0.00273605179314003,False,151.0,0.9930519632813618
