sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,elapsed_min
EDA,40C,1,2020-07-29 14:31:02,20.305622477609408,0.3148204790824695,0.015993325627681118,0.0004987098892097824,0.6132315345584157,0.010032453082449082,0.0
EDA,40C,2,2020-07-29 14:31:54,20.422887930099563,0.27478155862610926,0.02185679648500151,0.0005963380203224217,0.6068026659598955,0.00860081245719167,0.8666666666666667
EDA,40C,3,2020-07-29 14:32:48,19.142065655473424,0.22880096105561087,0.02927248439712073,0.0006810012733553297,0.6450221671246388,0.008605155186190459,1.7666666666666666
EDA,40C,4,2020-07-29 14:33:42,18.558636757974035,0.20263686900770939,0.034163776081982275,0.000702387734517216,0.6769842591842329,0.00861009546010548,2.6666666666666665
EDA,40C,5,2020-07-29 14:34:36,18.555791505589667,0.2014719747976323,0.03511653787635546,0.0007194569559544404,0.6749858232514827,0.008533619559167281,3.566666666666667
EDA,40C,6,2020-07-29 14:35:30,18.695839766090213,0.20148348329915058,0.0355813742767516,0.0007267365256804474,0.6707805631134428,0.008389352417693383,4.466666666666667
EDA,40C,7,2020-07-29 14:36:24,18.5934550934331,0.20006888217209665,0.03549359621952464,0.000722285163699735,0.6728206394524409,0.008417514012122353,5.366666666666666
EDA,40C,8,2020-07-29 14:37:18,18.247589428736116,0.19704606569802144,0.03634850863053467,0.0007291071995124708,0.6904754760981582,0.008837774610248882,6.266666666666667
EDA,40C,9,2020-07-29 14:38:12,18.106199616606776,0.19075830599363328,0.036670161826457694,0.0007134831045407515,0.6963064244725857,0.008751117069577702,7.166666666666667
EDA,40C,10,2020-07-29 14:39:06,18.107627102792264,0.18730875010701467,0.036501234913147725,0.0006865847214487055,0.7120442951440058,0.008925358577641587,8.066666666666666
EDA,40C,11,2020-07-29 14:39:58,18.119852527801363,0.1938526007037094,0.035375321492306044,0.0006950632540939662,0.701850292983767,0.008990515097062347,8.933333333333334
EDA,40C,12,2020-07-29 14:40:52,18.009937414574637,0.1906641752338841,0.03532529970239074,0.0006770704718392368,0.7165271307278931,0.009221250123268711,9.833333333333334
EDA,40C,13,2020-07-29 14:41:46,18.087533238437892,0.19602047704697897,0.03371737731134424,0.0006673099389364265,0.7075441961024993,0.009216968171997702,10.733333333333333
EDA,40C,14,2020-07-29 14:42:40,17.78585639090869,0.19009908409273318,0.033821821888119726,0.0006508899419392405,0.7222032805753,0.00942505202417634,11.633333333333333
EDA,40C,15,2020-07-29 14:43:34,17.76130405051401,0.19602281182596232,0.03278155019024034,0.0006530445151556192,0.7195768014734689,0.009660590267037097,12.533333333333333
EDA,40C,16,2020-07-29 14:44:28,17.769441283307984,0.19955423737580952,0.031107512322562796,0.0006303356574739,0.7199012453997993,0.009824902498554108,13.433333333333334
EDA,40C,17,2020-07-29 14:45:22,17.532832140580364,0.19579262798364766,0.030921659209168242,0.0006066316471111002,0.7483756466969493,0.010475356752795652,14.333333333333334
EDA,40C,18,2020-07-29 14:46:16,17.74925255177174,0.20334855615601186,0.029244756594886526,0.0005937579605619032,0.7389053089262834,0.010494217967605225,15.233333333333333
EDA,40C,19,2020-07-29 14:47:10,17.88769519124627,0.20960841584050566,0.027689175987537687,0.0005739730819222149,0.7407613902683676,0.010776423963622408,16.133333333333333
EDA,40C,20,2020-07-29 14:48:02,17.633123530271494,0.20708056831617402,0.026985164172548388,0.0005512137731383666,0.7591763892066025,0.011293578737632301,17.0
EDA,40C,21,2020-07-29 14:48:56,17.562749009345733,0.21334714897794496,0.025722365692984264,0.000543804839758805,0.7584834728460093,0.01165951928503882,17.9
EDA,40C,22,2020-07-29 14:49:50,17.861454867719246,0.22223847096636037,0.023469376766168653,0.0005147661024845218,0.7443621669448933,0.011532730939905497,18.8
EDA,40C,23,2020-07-29 14:50:44,17.40540898235244,0.2230114232935608,0.023207204478739918,0.0005122422497911357,0.7697076418642074,0.012629022082370952,19.7
EDA,40C,24,2020-07-29 14:51:38,17.654889690036413,0.23724370255789765,0.021208201434942234,0.0005007030854773777,0.7478923111047481,0.012559591502613265,20.6
EDA,40C,25,2020-07-29 14:52:32,17.415635809008005,0.23910690230152484,0.02019839078408141,0.00048152233064370183,0.7607255227834891,0.013238235333012677,21.5
EDA,40C,26,2020-07-29 14:53:26,18.03724752129383,0.2675250517895692,0.017944675215716677,0.00048478845967390186,0.7093578568007151,0.012567033983178417,22.4
EDA,40C,27,2020-07-29 14:54:20,17.914343249080602,0.26509643431536145,0.016823920663202426,0.00044605543335451454,0.7265368599689248,0.013101749524297997,23.3
EDA,40C,28,2020-07-29 14:55:14,17.87753458694335,0.2758814326027889,0.015682985462493786,0.000432577251144743,0.7289671807076841,0.013743965230618238,24.2
EDA,40C,29,2020-07-29 14:56:08,17.697346678139585,0.2881754810674114,0.014576186941670538,0.00042176928706715055,0.7350817277266841,0.014723987122052919,25.1
EDA,40C,30,2020-07-29 14:57:00,17.232784625123017,0.2935674543233536,0.013899576217899931,0.0004155759110363447,0.7483959490985899,0.015919438728315943,25.966666666666665
EDA,40C,31,2020-07-29 14:57:54,17.428630924249656,0.318187884721204,0.012149562794449674,0.00039821456525268714,0.7238445108266351,0.01603325109143964,26.866666666666667
EDA,40C,32,2020-07-29 14:58:48,17.80609633123542,0.3505187612401847,0.010667702331978312,0.0003872979172167726,0.6956783414537537,0.016054186796976688,27.766666666666666
EDA,40C,33,2020-07-29 14:59:42,17.68832569282864,0.362227734029612,0.009750118609624946,0.0003657506604169123,0.7024137175922739,0.01699331963733628,28.666666666666668
EDA,40C,34,2020-07-29 15:00:36,18.108725387845233,0.4091483046802076,0.00816292326194283,0.00035046319844430675,0.6652677517295347,0.01693324651870131,29.566666666666666
EDA,40C,35,2020-07-29 15:01:30,17.36323894288623,0.4000574408932303,0.00803337930868416,0.0003380854374278707,0.7048437235462648,0.01921902276814895,30.466666666666665
EDA,40C,36,2020-07-29 15:02:24,17.845172593700788,0.47081528389127464,0.006508006722167727,0.0003310087789794109,0.6506582453107617,0.018940810743790427,31.366666666666667
EDA,40C,37,2020-07-29 15:03:18,17.252960829895333,0.49998192868482233,0.005932729019424398,0.0003273679062140211,0.6622642151569886,0.021482199202625927,32.266666666666666
EDA,40C,38,2020-07-29 15:04:12,17.936670351284246,0.580031581057674,0.004839330983656416,0.0003079077517084617,0.63027323238278,0.021815444668661383,33.166666666666664
EDA,40C,39,2020-07-29 15:05:06,17.517260011742113,0.5960500963638221,0.00438587095996433,0.00028880848728260087,0.6453906113960669,0.02396275104217865,34.06666666666667
EDA,40C,40,2020-07-29 15:06:00,18.50948497544414,0.7459144453452128,0.0032516547153045457,0.00027283691978972284,0.5775238864763611,0.02296565434482635,34.96666666666667
EDA,40C,41,2020-07-29 15:06:52,17.242271704133767,0.7043964612223319,0.00320963287377187,0.00025597351283557945,0.6354369947467621,0.027823014360443182,35.833333333333336
EDA,40C,42,2020-07-29 15:07:46,17.522561026919057,0.8140523992068295,0.0026154839925570925,0.0002419148414666412,0.6158377232055849,0.029732202151103854,36.733333333333334
EDA,40C,43,2020-07-29 15:08:40,17.032578864617253,0.9090738502120085,0.00219029623445777,0.00023774196012967918,0.5953138215594407,0.03193955247792337,37.63333333333333
EDA,40C,44,2020-07-29 15:09:34,17.40783387712967,1.0206707169144802,0.0018068071489106311,0.00021276083884118918,0.6046669013011304,0.035944480210569056,38.53333333333333
EDA,40C,45,2020-07-29 15:10:28,17.112692833869605,1.1632191593103847,0.0014676891225371257,0.0002003573434510326,0.602315132601779,0.041105161930593374,39.43333333333333
EDA,40C,46,2020-07-29 15:11:22,16.335834830376022,1.216447149547011,0.0013405798391021083,0.00019978098599948235,0.6042596992127371,0.04515794635452505,40.333333333333336
EDA,40C,47,2020-07-29 15:12:16,14.00723095328205,1.1450311387637633,0.0012916936062836624,0.00019461659468621612,0.6814240628671937,0.0619129290312046,41.233333333333334
EDA,40C,48,2020-07-29 15:13:10,18.681269842373993,2.1389980909296007,0.0006423070647762148,0.00016302779766955977,0.5071819901825136,0.04846031720730541,42.13333333333333
EDA,40C,49,2020-07-29 15:14:04,16.590176534757223,2.1779259350878863,0.0006125403393626904,0.00017247250264435107,0.5318394958791088,0.060447635352974385,43.03333333333333
