sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP2,25C,1,2026-03-11 09:47:26,16847.96161506144,118.59447673701781,0.022814935067700912,0.00032525694106401686,0.610762654328607,0.004883728716325205,False,0.0,0.0
DAP2,25C,2,2026-03-11 09:49:02,16696.672169808935,112.6757292055274,0.02526702212047879,0.00034108323708914844,0.6214196782765844,0.004889384352697246,False,1.6,-0.1074772751051698
DAP2,25C,3,2026-03-11 09:50:36,16770.779399006315,110.80500259378597,0.0248534910853433,0.0003300102384306526,0.6174115911174507,0.004728876551839311,False,3.1666666666666665,-0.08935182202330139
DAP2,25C,4,2026-03-11 09:52:12,16742.258468966378,115.01089948865373,0.023776296028782527,0.00032585941755460923,0.6237429700219727,0.004946690703657396,False,4.766666666666667,-0.042137352494270974
DAP2,25C,5,2026-03-11 09:53:46,16690.630720685032,117.51380495859442,0.022442426686891993,0.0003153332906590209,0.6234344495241002,0.005016420092079636,False,6.333333333333333,0.016327391671444147
DAP2,25C,6,2026-03-11 09:55:22,16566.53347199703,113.46971116144591,0.021721862537362083,0.0002921461675148698,0.6377093797854542,0.005020069022476731,False,7.933333333333334,0.04791039409471254
DAP2,25C,7,2026-03-11 09:56:56,16683.0455171676,119.45230227970335,0.020117997437705964,0.00028501906390423,0.6306733132586283,0.005106257642941746,False,9.5,0.11820930552693099
DAP2,25C,8,2026-03-11 09:58:30,16411.427442673506,117.24196916718802,0.019708595811290953,0.0002728990786883074,0.6493033189074595,0.0053161222628621795,False,11.066666666666666,0.13615376275199664
DAP2,25C,9,2026-03-11 10:00:06,16433.198806321172,120.62103978388646,0.018560859557109833,0.00026559567717827047,0.6437828714773366,0.005354359455953908,False,12.666666666666666,0.18646011912668425
DAP2,25C,10,2026-03-11 10:01:40,16511.94839991223,122.13909490618092,0.017477191343309207,0.00025120747472828325,0.6465522062638694,0.005402612289198518,False,14.233333333333333,0.23395831320810312
DAP2,25C,11,2026-03-11 10:03:16,16581.520523906267,126.71118726220783,0.01626938390466585,0.00024097402968714063,0.6486035802389499,0.005579095976283634,False,15.833333333333334,0.2868976459328869
DAP2,25C,12,2026-03-11 10:04:50,16571.65823030632,131.74409453616343,0.0154287641110416,0.0002377432741011125,0.6483808560424772,0.005780514884964547,False,17.4,0.32374279982571197
DAP2,25C,13,2026-03-11 10:06:26,16574.48988864016,130.8011688463949,0.014626829815226927,0.0002236253318190643,0.6486225272973347,0.005724429558372278,False,19.0,0.3588923320700518
DAP2,25C,14,2026-03-11 10:08:00,16251.039846136708,128.46031722124758,0.014348871655473824,0.00021558430107430815,0.6666859099481887,0.006008913702249421,False,20.566666666666666,0.3710754988828563
DAP2,25C,15,2026-03-11 10:09:36,16585.25177092651,137.17500095885947,0.01303072269181993,0.00020689473352572063,0.6568297733993985,0.006103185261770106,False,22.166666666666668,0.42885120412779454
DAP2,25C,16,2026-03-11 10:11:10,16611.178200537113,137.2456216121913,0.012418356043527208,0.0001945840865140598,0.6683910420537866,0.006281670426381171,False,23.733333333333334,0.4556918086035727
