sample,temp,scan,timestamp,n_avg,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAB,60C,1,2026-07-21 14:43:54,1,11002.377447876266,84.47176530060115,0.05124112833339625,0.0005908961166618328,0.7773528844718237,0.012108227912866257,False,0.0,
DAB,60C,2,2026-07-21 14:45:16,1,10636.920269642305,79.73727265496724,0.0643188045144513,0.0006619347064872095,0.8009708704968617,0.01395695511297994,False,1.3666666666666667,
DAB,60C,3,2026-07-21 14:46:38,1,10432.935374525781,74.21978076889822,0.07053065950438618,0.000659896265801808,0.8197006394211789,0.014459128874864365,False,2.7333333333333334,
DAB,60C,4,2026-07-21 14:47:58,1,10372.918664876217,76.7562437534687,0.07390772741360338,0.0007160260708156713,0.807865879953937,0.01514531037811308,False,4.066666666666666,0.0
DAB,60C,5,2026-07-21 14:49:20,1,10185.587539997434,73.53706936820232,0.07243266251425537,0.0006772150882138011,0.831407523019438,0.01522700838520726,False,5.433333333333334,0.01995819586080938
DAB,60C,6,2026-07-21 14:50:42,1,10165.606609416573,74.72048420135856,0.06846406991932219,0.0006676480966695363,0.8198350536168855,0.014677799186684902,False,6.8,0.07365478123576064
DAB,60C,7,2026-07-21 14:52:04,1,10273.207430580891,78.16468365851648,0.0618657878881444,0.0006522632539288303,0.8052061619143454,0.013956314602221876,False,8.166666666666666,0.16293207688649014
DAB,60C,8,2026-07-21 14:53:24,1,10159.187088129498,75.26670991286353,0.05746476130460749,0.0006018782279197942,0.8097203654139211,0.013135790366775188,False,9.5,0.22247966057699964
DAB,60C,9,2026-07-21 14:54:46,1,10336.839962905162,86.89272935692279,0.04948601143743012,0.0006262441923871921,0.7858699657505611,0.013210196117872247,False,10.866666666666667,0.33043521740973214
DAB,60C,10,2026-07-21 14:56:08,1,10165.793609696442,86.37982905326716,0.04317006840634017,0.0005669129790199277,0.7937304818035069,0.012634039359338559,False,12.233333333333333,0.41589235771313504
DAB,60C,11,2026-07-21 14:57:28,1,10184.312486826637,91.16044704271981,0.035831339810216425,0.0005163098446932454,0.7850942650097271,0.012047448743214841,False,13.566666666666666,0.5151881803955813
DAB,60C,12,2026-07-21 14:58:50,1,10187.29358622344,97.7928246422199,0.029132931443623382,0.0004704387347604599,0.7626988289431101,0.01145780802713924,False,14.933333333333334,0.6058202239044735
DAB,60C,13,2026-07-21 15:00:12,1,10345.90002530483,112.0810896053932,0.021438184647582816,0.0004098682743177305,0.7318138493015078,0.011084389550076458,False,16.3,0.7099331098680632
DAB,60C,14,2026-07-21 15:01:32,1,10525.779031046128,139.8844122588104,0.014874524317960807,0.00036660596246541606,0.6897128583808444,0.011491677868768445,False,17.633333333333333,0.7987419605703772
DAB,60C,15,2026-07-21 15:02:54,1,10417.00890505502,175.51050815287084,0.009761045736422534,0.0003188405084720476,0.6479662922688302,0.012446808275876891,False,19.0,0.867929294026352
DAB,60C,16,2026-07-21 15:04:16,1,10573.288391544307,240.64907862699337,0.005491544655671075,0.0002547112704384458,0.5997898140318961,0.014147730055409702,False,20.366666666666667,0.9256972870382115
DAB,60C,17,2026-07-21 15:05:36,1,10682.090244586268,377.6936322103194,0.002704564783994162,0.0002096832287442517,0.5335430994506491,0.017359908383072543,False,21.7,0.9634061974486261
DAB,60C,18,2026-07-21 15:06:58,1,12743.0699202891,859.0390322143979,0.0008014377910530446,0.00013253179148478515,0.4379035186619758,0.022030992997262386,False,23.066666666666666,0.9891562382026979
DAB,60C,19,2026-07-21 15:08:20,1,13235.400568304976,1595.9325507518834,0.00030907853308931283,9.336030815089173e-05,0.407967122313509,0.03283022970107417,False,24.433333333333334,0.9958180484787519
DAB,60C,20,2026-07-21 15:09:40,1,14299.213094151593,3240.9176161630116,0.00012602902280275282,7.225854319314166e-05,0.3804795660475496,0.05068684843453013,False,25.766666666666666,0.9982947788111862
DAB,60C,21,2026-07-21 15:11:00,1,14077.964439132958,3147.6478478777763,6.787927019473103e-05,3.381445281719029e-05,0.42678930753178235,0.05513293979961285,False,27.1,0.9990815673466069
DAB,60C,22,2026-07-21 15:12:20,1,6018.756718013507,911.014985596119,0.00019500771634650276,4.4495738696957736e-05,0.8108169020930515,0.13047175214800116,False,28.433333333333334,0.9973614705366978
