sample,temp,scan,timestamp,n_avg,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP,33C,1,2020-09-29 09:12:52,1,20.901701917505516,0.2534856842821428,0.024913316876831865,0.0006077300575435114,0.614526443196331,0.007969117010689145,False,0.0,
DAP,33C,2,2020-09-29 09:13:46,1,20.51500905886551,0.23337818330596513,0.029055100151505624,0.0006566532535490806,0.6262562995386285,0.007786841044264489,False,0.9,
DAP,33C,3,2020-09-29 09:14:40,1,20.30623181470722,0.22637872459764788,0.031070693572816565,0.0006864164437658367,0.6288123999285175,0.007719065331030824,False,1.8,
DAP,33C,4,2020-09-29 09:15:32,1,20.177943878045596,0.22058897588007076,0.03201949129380936,0.0006867274960851527,0.6380467033637648,0.0077715438309936295,False,2.6666666666666665,
DAP,33C,5,2020-09-29 09:16:26,1,20.239773989540023,0.21416001127145154,0.032405589688438936,0.0006702740166819638,0.6413884836671278,0.007594079803181896,False,3.566666666666667,
DAP,33C,6,2020-09-29 09:17:20,1,19.846032637300276,0.2100856233965049,0.03283203320273666,0.0006716563027912074,0.652047405102003,0.007815969415906286,False,4.466666666666667,0.0
DAP,33C,7,2020-09-29 09:18:14,1,19.690252848540926,0.21013037195593937,0.032750326328993946,0.0006648371314144691,0.6670246022326457,0.00818592099554185,False,5.366666666666666,0.0024886327702635658
DAP,33C,8,2020-09-29 09:19:08,1,19.868517615991777,0.21847012959444934,0.03104182554295981,0.0006627482220935583,0.6474603206087658,0.007993866410607418,False,6.266666666666667,0.05452625028496949
DAP,33C,9,2020-09-29 09:20:02,1,19.754264328779048,0.21102944745088337,0.030912597772977342,0.000627081299486567,0.6685500883587029,0.00820186938669375,False,7.166666666666667,0.058462277310298405
DAP,33C,10,2020-09-29 09:20:56,1,19.68815935080847,0.2152389008290362,0.029886991514652808,0.000620618988944401,0.6681947954690687,0.008373322516078566,False,8.066666666666666,0.08970025310032792
DAP,33C,11,2020-09-29 09:21:48,1,19.954728578344753,0.22322199080932528,0.028513342155849337,0.0006092548821358061,0.662681965976396,0.008428932072210725,False,8.933333333333334,0.13153894613286832
DAP,33C,12,2020-09-29 09:22:42,1,19.75660122948459,0.22500729752106505,0.027913403964019003,0.0005988423891943087,0.6761306635316268,0.008884731492707918,False,9.833333333333334,0.14981189889597424
DAP,33C,13,2020-09-29 09:23:36,1,19.050007712843886,0.2142245197520625,0.028603029765356145,0.0005937812553956372,0.696298557831788,0.009250628843498315,False,10.733333333333333,0.12880723564290286
DAP,33C,14,2020-09-29 09:24:30,1,19.419903057687954,0.21960587642802643,0.027112255531552897,0.0005664490705932074,0.6953768533102191,0.009269926830467854,False,11.633333333333333,0.17421332501293274
DAP,33C,15,2020-09-29 09:25:24,1,19.526344508385517,0.2284674857415324,0.02558669021616144,0.0005541022178556593,0.6934835972029174,0.009534977574364716,False,12.533333333333333,0.22067908319400986
DAP,33C,16,2020-09-29 09:26:18,1,19.291461258073465,0.22704251318478907,0.02561855832387217,0.0005500600713633738,0.7081848893043239,0.009963735664114258,False,13.433333333333334,0.2197084424933885
DAP,33C,17,2020-09-29 09:27:12,1,19.201249682376847,0.22615441178589732,0.024655189529877133,0.0005307244796925997,0.7063026155408174,0.009919015529139034,False,14.333333333333334,0.2490507859311606
